genres,release_date,id,item_id,playtime_forever
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",2018-01-01,413120.0,17390,4120
"['Adventure', 'Casual', 'Indie']",2017-12-30,773120.0,24960,431
"['Action', 'Adventure', 'RPG']",2018-01-01,754360.0,104900,38
"['Adventure', 'Casual', 'Indie', 'RPG']",2018-01-01,716110.0,209080,2155
['Strategy'],2006-07-06,1640.0,236390,6450
['Strategy'],2006-07-06,1630.0,243870,0
"['Action', 'Indie', 'RPG']",2006-07-11,2400.0,271290,129
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",2017,381620.0,242920,1239
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Beta测试已开启,714020.0,238010,12764
"['Action', 'Indie', 'Strategy', 'Early Access']",2017-12-29,759920.0,223530,0
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2018-03-30,659780.0,246620,775
"['Action', 'Adventure', 'Indie', 'RPG']",2017-12-29,603280.0,301520,4915
"['Casual', 'Strategy', 'Early Access']",2017-12-29,753110.0,65930,0
"['Action', 'Indie']",2017-12-29,753100.0,200510,8178
"['Action', 'Adventure', 'Casual']",2017-12-30,764280.0,49520,20102
"['Adventure', 'Casual', 'Free to Play', 'Indie']",2017-12-29,758550.0,227940,2536
['Action'],2005-08-09,3800.0,730,2189
"['Indie', 'Strategy']",2006-09-29,1520.0,342200,11
"['Action', 'Indie', 'RPG']",2006-11-20,2420.0,346010,2071
"['Indie', 'Simulation']",2006-11-29,4000.0,347510,62
['Racing'],2006-11-24,4230.0,219740,3769
"['Casual', 'Indie']",2006-12-14,4900.0,322330,1351
"['Casual', 'Indie']",2006-12-19,2520.0,57300,464
['Strategy'],2003-08-23,6200.0,15700,1
['Strategy'],2006-12-21,6210.0,299360,67
"['Adventure', 'RPG']",2006-04-17,6300.0,221380,741
['Racing'],2006-08-01,2990.0,355950,0
['Racing'],2005-07-12,6220.0,319630,70
"['Action', 'Adventure']",2007-06-26,6510.0,240,1207
['Strategy'],2006-07-24,3980.0,15620,27
['RPG'],2002-11-12,1700.0,20570,130
"['Action', 'Adventure', 'RPG']",2000-11-17,6310.0,8190,2
['Strategy'],2006-07-24,3990.0,8930,1631
['Strategy'],2003-10-23,7610.0,56400,24506
['Strategy'],2006-10-16,7600.0,219640,133
['Strategy'],1998-10-31,7620.0,208480,131
"['Casual', 'Indie']",2007-06-01,2540.0,236390,39
['Strategy'],1995-04-01,7650.0,256410,90
"['Action', 'Adventure']",2007-06-05,8000.0,236850,12182
['Action'],2006-05-23,6550.0,4000,65
"['Action', 'Adventure']",2006-10-17,8200.0,8000,674
['Action'],1996-06-17,2290.0,20,0
"['Indie', 'RPG']",2007-06-29,2570.0,50,0
"['Action', 'Adventure']",2006-12-20,8210.0,70,15
['Action'],1995-04-30,2280.0,130,190
['Action'],1995-06-01,9160.0,220,737
['Action'],1994-05-05,2300.0,280,964
['Action'],1994-08-03,2270.0,320,0
['Action'],2001-11-20,9010.0,340,0
['Action'],1997-02-28,9040.0,360,0
['Action'],1993-10-10,9000.0,380,210
['Action'],2003-09-09,3810.0,420,340
['Action'],2007-08-03,9030.0,12900,14
['Action'],2007-05-31,2310.0,22000,280
['Strategy'],2007-03-20,3230.0,9480,39
['Strategy'],2006-01-01,9310.0,10500,37
"['Action', 'RPG']",2007-08-21,7670.0,17470,0
['Strategy'],2006-01-01,4570.0,24740,556
['Strategy'],2006-10-09,4580.0,1250,1971
['Strategy'],2004-09-22,4760.0,35420,0
['Strategy'],2006-06-26,4770.0,6060,211
['Casual'],2007-12-14,50970.0,6000,52
['Action'],1998-06-30,12170.0,25890,213
['Action'],1999-10-25,12180.0,23380,19
['Action'],2004-04-20,12130.0,32400,0
['Racing'],2003-07-01,12160.0,6030,0
['Action'],2003-10-14,12150.0,6020,627
"['Action', 'Adventure']",2006-04-07,7000.0,40700,221
['Action'],2001-07-25,12140.0,24800,0
['Strategy'],2008-10-28,17480.0,17450,0
['Casual'],2007-10-10,12500.0,40400,72
"['RPG', 'Casual', 'Adventure']",2007-10-23,12310.0,23490,0
['Strategy'],2007-08-01,12510.0,32440,96
"['Action', 'Adventure', 'Strategy']",2007-09-01,12530.0,32430,0
['Racing'],2007-12-03,12520.0,24980,0
['Action'],2008-02-08,8100.0,40100,0
['Action'],2007-05-08,2780.0,32470,12
['Simulation'],2006-02-21,9730.0,24780,620
['Action'],2006-05-02,9710.0,17410,635
"['Action', 'Adventure']",2007-10-16,9800.0,8930,14956
['Action'],2006-05-30,9760.0,6120,220
"['Simulation', 'Strategy']",2006-10-26,2700.0,57300,0
['Action'],2005-03-14,2710.0,40300,5
['Action'],2003-02-03,13200.0,70300,25
['Action'],1998-04-30,13250.0,32500,0
"['Casual', 'Indie']",2008-03-21,13000.0,72200,45
['Action'],2003-02-18,13560.0,40800,70
['Action'],2004-03-23,13520.0,78000,0
['Action'],2000-10-25,13240.0,21100,0
['Action'],2006-12-12,13540.0,92800,1077
['Simulation'],2005-03-15,15210.0,95300,0
"['Casual', 'Simulation']",2008-05-28,16180.0,70000,0
['Casual'],2008-06-04,3520.0,620,2414
['Casual'],2008-06-10,15970.0,105600,92
['Casual'],2008-06-10,15950.0,20920,353
['Casual'],2008-06-10,15960.0,21090,0
['Casual'],2008-06-10,15900.0,21110,0
['Casual'],2005-12-08,15910.0,21120,0
['Casual'],2007-11-13,15930.0,16450,0
['Simulation'],2007-11-13,15160.0,97000,290
['Casual'],2005-12-08,15920.0,49600,1476
"['Action', 'Adventure']",2007-03-27,15080.0,44200,0
['Simulation'],2007-03-20,15200.0,32800,0
['Simulation'],2006-12-15,15320.0,107200,174
['Simulation'],2008-03-24,15240.0,400,3159
['Adventure'],2005-09-15,8310.0,63000,26
['Racing'],2005-07-02,12600.0,3830,0
['Adventure'],2006-04-12,8320.0,65800,429
['Racing'],2008-07-29,12590.0,35720,661
['Simulation'],2007-07-02,12560.0,41070,796
['Casual'],2007-08-08,12540.0,202200,750
['Adventure'],2008-05-20,11050.0,203810,0
['Sports'],2008-07-08,10520.0,80330,1
"['Adventure', 'RPG']",2008-04-14,11040.0,80340,0
"['Adventure', 'Indie']",2008-07-31,19500.0,80350,0
"['Simulation', 'Strategy']",2007-05-25,11260.0,48000,226
"['Action', 'Indie']",2008-08-21,19200.0,203770,17776
['Racing'],2008-08-19,12360.0,205730,0
['Adventure'],1998-11-17,15710.0,203560,0
['Adventure'],1997-12-12,15700.0,207170,1354
['Racing'],2008-09-01,8660.0,207570,0
['Strategy'],2001-04-19,7770.0,207250,0
['Strategy'],1997-07-15,7660.0,102600,0
['Strategy'],1993-12-31,7760.0,208580,257
"['Action', 'RPG']",2008-09-15,20510.0,209370,217
['Action'],2008-09-17,17330.0,29180,62
['Action'],2007-11-13,17300.0,209690,0
['Strategy'],1998-06-15,7730.0,1500,118
"['Action', 'RPG']",2008-09-16,20900.0,1510,95
['Indie'],2008-09-19,1530.0,1520,0
['Racing'],2008-10-22,8690.0,1530,0
"['Strategy', 'Simulation']",2008-08-28,17120.0,15560,35
['Strategy'],2008-09-23,16810.0,209830,0
['Action'],2003-03-18,19830.0,105800,0
"['Action', 'Adventure']",2008-09-29,21000.0,207610,388
"['Simulation', 'Strategy']",2008-07-18,4460.0,211440,0
"['RPG', 'Strategy']",2008-09-30,17140.0,206370,0
['Action'],2008-10-08,15390.0,208140,296
"['Indie', 'Casual']",2008-08-31,21300.0,205350,0
['Racing'],2006-12-01,3050.0,32370,3275
['Strategy'],2006-11-14,15380.0,200260,3778
['Action'],2005-10-04,19800.0,212680,604
['Strategy'],2007-10-16,15370.0,108800,0
['Strategy'],2008-04-18,19930.0,200390,13
['Casual'],2007-09-25,15350.0,12750,0
['Action'],2002-05-31,19810.0,205910,262
['Casual'],2008-10-15,3540.0,214830,0
['Indie'],2008-10-13,22000.0,35140,177
"['Action', 'Simulation', 'Strategy']",2008-10-16,2820.0,98800,0
['Action'],2008-10-17,1230.0,214340,434
"['Casual', 'Indie']",2008-10-20,18300.0,209080,78
"['Indie', 'Casual', 'Sports']",2008-10-21,20200.0,204630,0
"['Action', 'Adventure']",2008-10-21,12200.0,730,1989
['Action'],2008-10-22,19900.0,65300,19
"['Action', 'Indie', 'Strategy']",2008-10-23,11240.0,204300,1805
['Simulation'],2009-01-01,256522.0,209540,49
['Simulation'],2009-01-01,275144.0,200710,620
['Simulation'],2009-01-01,256521.0,206440,219
['Simulation'],2009-01-01,222569.0,220780,436
['Simulation'],2009-01-01,256535.0,219640,402
['Simulation'],2009-01-01,256611.0,232210,0
['Simulation'],2009-01-01,256576.0,221260,226
['Action'],2009-01-28,9480.0,91600,203
['Action'],2008-10-20,17470.0,214560,999
['RPG'],2008-12-16,12770.0,218680,36
"['Action', 'Adventure']",2009-01-13,17410.0,219150,498
"['Indie', 'Strategy']",2008-12-08,18500.0,223220,33
['Action'],2009-02-12,16450.0,4920,0
"['Strategy', 'Indie']",2008-03-05,15400.0,57690,301
"['Indie', 'Strategy']",2007-07-04,18600.0,218740,46
"['Action', 'Indie']",2009-03-19,11340.0,220460,1031
['Strategy'],2005-05-10,25830.0,61600,31
"['Action', 'Adventure', 'Strategy']",2009-02-27,23460.0,203140,990
['Strategy'],2009-03-04,10600.0,205930,0
['Action'],2009-03-04,21010.0,209190,11
"['Action', 'Adventure', 'Indie']",2007-03-30,22180.0,221640,137
['Action'],2007-11-19,13210.0,204940,0
['RPG'],2009-02-27,12640.0,201790,0
"['Casual', 'Strategy']",2009-03-09,21600.0,80300,0
"['Indie', 'Simulation']",2008-03-21,27020.0,113020,199
['Racing'],2009-02-03,24740.0,227320,102
['Action'],2009-03-11,90047.0,220700,124
"['Action', 'Indie']",2009-03-09,26000.0,219680,19
"['Action', 'Indie']",2009-03-16,26006.0,200900,0
"['Action', 'Indie']",2009-03-16,26005.0,215710,0
"['Casual', 'Indie']",2009-03-19,11330.0,219890,406
['Indie'],2009-03-19,27800.0,99910,92
"['Simulation', 'Strategy']",2009-03-10,9850.0,208090,0
['Casual'],2009-04-15,3600.0,212070,0
"['RPG', 'Massively Multiplayer']",2006-10-27,29580.0,230410,134
"['RPG', 'Massively Multiplayer']",2005-04-28,29540.0,236390,0
"['RPG', 'Massively Multiplayer']",2006-04-28,29560.0,286080,97
"['Massively Multiplayer', 'RPG']",2008-09-25,29570.0,265630,1475
['Casual'],2009-04-16,23700.0,286100,24
['Casual'],2009-04-29,16060.0,226320,0
['RPG'],2009-04-30,1930.0,257730,66
['Strategy'],2009-04-30,18470.0,230980,18
"['Action', 'Adventure', 'RPG']",2009-02-10,7510.0,204240,0
"['Action', 'Indie']",2009-04-21,22200.0,225260,71
['Indie'],2009-04-29,26007.0,233150,98
"['RPG', 'Strategy']",2008-09-23,25900.0,218060,2456
"['Casual', 'Simulation']",2009-05-06,16200.0,228260,104
['Racing'],2009-05-06,7840.0,203160,838
"['RPG', 'Strategy']",2005-03-08,8890.0,225420,469
"['RPG', 'Strategy']",2002-03-26,8880.0,234490,14
"['Indie', 'Simulation', 'Strategy']",2009-06-04,34500.0,233450,3638
"['Action', 'Simulation']",2009-06-09,1280.0,227080,60
"['Action', 'Adventure']",2009-06-10,10150.0,93200,10
"['Adventure', 'Indie']",Jun 2009,29160.0,203210,0
['Strategy'],2004-04-30,12470.0,219190,0
['RPG'],2007-09-11,22330.0,233550,230
['RPG'],2002-04-29,22320.0,228440,60
['Adventure'],2007-05-18,12440.0,44350,314
['Simulation'],1999-09-01,32710.0,230700,0
['Simulation'],1998-09-07,32740.0,210770,384
['Strategy'],2008-09-15,12460.0,235250,6
['Action'],2009-06-30,21980.0,233720,41
['Adventure'],2007-10-01,31860.0,224760,130
['Adventure'],2006-10-01,31900.0,234190,0
['Adventure'],2008-07-01,31920.0,238210,700
['Adventure'],2007-07-01,31930.0,222730,138
"['Casual', 'Indie']",2008-12-24,35800.0,235820,273
"['Simulation', 'Sports']",2009-07-07,12690.0,233980,0
['Adventure'],2009-07-07,31170.0,236090,802
['Action'],2009-07-07,21660.0,206190,214
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",2007-10-09,6080.0,231160,257
['Adventure'],1992-06-01,6010.0,242820,0
['Action'],2003-12-02,6090.0,233250,28
['Action'],2005-11-01,6060.0,243160,396
['Adventure'],1989-07-01,32310.0,228960,0
"['Action', 'Adventure']",2008-06-03,32330.0,242110,22
['Adventure'],2009-07-15,32360.0,95000,0
['Strategy'],2008-11-20,35300.0,201420,0
"['Action', 'Racing']",2009-06-02,35310.0,237530,0
['Adventure'],2009-07-21,31980.0,98200,33
['Adventure'],2009-07-21,31990.0,239450,8
['Sports'],2006-12-20,10140.0,244770,4
['Adventure'],2006-09-01,10100.0,245150,41
['Action'],2007-10-30,10130.0,241320,0
['Adventure'],2006-09-01,10110.0,218820,0
['Action'],2009-07-24,1256.0,234390,212
"['Action', 'Casual']",2008-06-04,10120.0,246680,72
"['Simulation', 'Strategy']",2009-07-24,33520.0,247020,623
['Casual'],2009-07-27,3610.0,214770,58
['Action'],2008-08-14,21680.0,225080,0
"['Action', 'Adventure']",2009-07-28,21670.0,239030,0
['Action'],2009-07-29,21030.0,231040,30
"['Action', 'Indie']",2009-08-04,36000.0,239070,505
"['Adventure', 'RPG']",2003-11-19,32370.0,248310,274
"['Indie', 'Casual']",2009-08-18,29180.0,248650,0
['RPG'],1998-12-01,38410.0,248820,255
['Strategy'],2001-03-01,38420.0,222940,0
['Action'],1999-06-01,38430.0,47790,0
"['Action', 'Adventure']",2009-08-19,35050.0,249650,172
['Adventure'],2009-08-20,31180.0,239820,1050
['Casual'],2009-08-24,37960.0,225280,0
['Casual'],2009-08-24,38000.0,241240,58
"['Adventure', 'Indie']",2009-06-22,37400.0,238320,0
['Action'],2005-03-29,13570.0,233840,270
"['Action', 'Racing']",2009-08-27,11390.0,239200,0
['Strategy'],2009-08-28,34420.0,250180,0
['Simulation'],2009-10-30,43100.0,250260,0
['Simulation'],2009-09-23,33730.0,250700,69
"['Action', 'Adventure']",2009-09-08,35000.0,111900,0
['Casual'],2009-09-23,39392.0,251470,2
['Casual'],1999-11-30,39391.0,251850,125
"['Adventure', 'Casual', 'Indie']",2009-05-26,37600.0,251990,533
['Simulation'],2009-09-25,24029.0,252110,167
"['Adventure', 'Casual']",2009-09-28,32140.0,252310,37
['Adventure'],2009-09-07,31190.0,252410,321
['Action'],2009-08-18,32770.0,252630,69
['Simulation'],2009-10-01,208306.0,253030,915
['Simulation'],2009-09-30,37300.0,253630,0
['Simulation'],2009-10-01,208300.0,231310,27
['RPG'],2009-10-30,40300.0,255370,0
['Casual'],2009-10-01,35070.0,233130,29
['Strategy'],2009-10-05,10606.0,255520,0
"['Adventure', 'Indie']",2009-10-16,40700.0,258200,0
['Action'],2007-09-04,24840.0,247000,140
['Racing'],2009-09-15,24870.0,49520,1253
['RPG'],2009-10-27,41500.0,42910,0
['Strategy'],2009-03-12,24800.0,238010,0
['Strategy'],2009-10-27,901735.0,259060,423
['Strategy'],2009-10-27,42800.0,245470,612
['Action'],2009-10-27,39560.0,259390,0
"['RPG', 'Strategy']",2009-10-29,39550.0,259430,53
['Adventure'],2009-10-29,40330.0,259530,25
['Strategy'],2009-10-29,40320.0,94400,349
['Adventure'],2009-10-07,31200.0,221910,160
['Strategy'],2009-11-01,3130.0,235620,11
"['Action', 'Indie']",2009-09-19,41100.0,207750,91
"['Action', 'RPG']",2009-11-03,39540.0,261180,195
['Strategy'],2005-03-03,34640.0,242700,1143
['Strategy'],2003-10-28,34630.0,263760,227
"['Action', 'Indie']",2009-11-24,41000.0,264140,9
['Adventure'],2009-10-29,40340.0,264200,612
['RPG'],2009-11-06,17450.0,264690,145
"['Action', 'RPG', 'Indie']",2009-05-07,37100.0,264730,115
"['Indie', 'Casual']",2009-11-05,37500.0,227300,3717
['Strategy'],2009-11-11,42810.0,215530,58
['Action'],2009-11-12,10180.0,266110,56
['Adventure'],2009-11-12,32440.0,266130,27
['RPG'],2007-06-26,11450.0,201040,47
['RPG'],2008-02-15,12710.0,270050,0
['Strategy'],2007-03-28,24790.0,270450,0
"['Indie', 'Casual']",2008-07-23,29120.0,550,316
['Strategy'],2009-11-13,24810.0,223530,0
"['Indie', 'Simulation', 'Strategy']",2009-11-16,41800.0,271290,26
['Simulation'],2009-12-25,45300.0,271670,63
"['Action', 'Adventure', 'RPG']",2005-06-17,41900.0,271820,7
['Action'],2009-10-22,35420.0,271920,460
['Action'],2009-11-03,32430.0,272040,0
['RPG'],2009-10-13,22370.0,272890,54
"['Strategy', 'Indie', 'Simulation']",2009-12-16,41802.0,273070,294
['Simulation'],2007-10-02,38080.0,274190,1336
['Simulation'],2008-04-29,38090.0,274250,193
['Simulation'],2009-01-24,38100.0,274310,0
"['Casual', 'Simulation']",2009-12-17,38070.0,222880,72
['Casual'],2009-12-17,38210.0,200510,1968
"['Action', 'Adventure']",2008-07-08,45700.0,277490,44
"['Action', 'Indie', 'RPG']",2010-03-17,46410.0,48700,9636
['Simulation'],2009-08-12,38110.0,278910,37
"['Action', 'Free to Play', 'Indie']",2010-02-12,17570.0,279990,37
['Casual'],2008-08-27,38130.0,280910,181
['Casual'],2010-01-06,38160.0,282440,0
['Casual'],2009-09-11,38150.0,284460,1212
['Casual'],2007-12-07,38120.0,287980,540
['Casual'],2009-02-18,38140.0,289760,7
['Casual'],2010-02-16,36300.0,290080,46
"['Strategy', 'Casual']",2010-02-16,36310.0,261510,0
"['Adventure', 'Casual']",2010-02-16,36320.0,293680,11
['Strategy'],2010-02-17,37030.0,286160,138
['Adventure'],2010-02-18,32450.0,298160,0
['Sports'],2010-02-18,34180.0,237930,426
"['Action', 'Indie', 'Racing']",2010-02-18,44100.0,300580,49
['Strategy'],2010-02-18,25960.0,301520,41
['Action'],2010-02-19,46250.0,2820,297
['Casual'],2007-12-01,38180.0,246110,267
['Action'],2010-03-18,10695.0,302610,605
"['Action', 'Indie']",2001-03-21,41050.0,303210,0
['Simulation'],2010-03-19,24055.0,8600,0
"['Action', 'RPG']",2010-03-31,48700.0,8660,0
['Action'],2010-03-26,39900.0,211500,18
"['Action', 'Indie']",2010-04-05,49900.0,63380,0
['Action'],2010-04-08,42120.0,307270,60
['Action'],2010-04-12,12220.0,9900,12817
"['Action', 'Adventure']",2010-04-12,45730.0,311700,0
['Indie'],2010-04-14,45400.0,9880,817
"['Action', 'Casual', 'Indie']",2010-04-15,49600.0,232430,0
['Adventure'],2010-04-15,901399.0,313690,1279
"['Simulation', 'Strategy']",2010-04-19,43500.0,313730,111
['Simulation'],2010-04-19,45302.0,255420,0
"['Adventure', 'Indie']",2010-04-20,40930.0,317400,736
['Action'],2003-08-19,39640.0,205020,18
['Action'],2001-11-30,39630.0,318330,0
"['Casual', 'Indie']",2010-04-20,23150.0,205790,0
['Casual'],2006-07-19,50940.0,319850,181
"['Casual', 'Indie']",2008-06-19,50920.0,6880,0
['Strategy'],2010-05-05,34178.0,8190,283
['Casual'],2008-12-31,37340.0,321480,14
['Casual'],2009-09-24,37390.0,241930,2151
['Casual'],2009-07-27,37310.0,275670,253
['Casual'],2007-10-19,37360.0,305050,18
['Casual'],2009-12-24,49000.0,326960,0
['Casual'],2010-03-19,37330.0,24240,0
['Casual'],2008-02-11,37320.0,329130,33
['Casual'],2007-12-31,37370.0,329380,0
['Casual'],2009-12-21,37380.0,308420,1286
"['Action', 'Adventure', 'Casual']",2010-05-07,19080.0,332070,0
"['Action', 'Indie']",2008-12-05,31700.0,332360,11
"['Action', 'Adventure']",2010-05-11,19030.0,282070,1731
['Indie'],2010-05-12,50820.0,333930,4478
"['Action', 'Indie']",2010-05-12,49800.0,335240,18
['Casual'],2010-05-28,33650.0,339350,2196
"['Action', 'Adventure']",2010-06-08,901478.0,304650,335
"['Casual', 'Indie']",2010-05-28,33660.0,339600,8
['Action'],2010-06-01,34281.0,341720,16
['Action'],2010-06-01,34272.0,255710,1331
"['Action', 'Adventure', 'Casual', 'RPG']",2010-06-01,34270.0,356500,25
['Action'],2010-06-01,34276.0,47780,0
['Action'],2010-06-01,34274.0,375820,51
['Strategy'],2010-06-01,34275.0,381780,79
['Action'],2010-06-01,34277.0,385770,0
['Action'],2010-06-01,34273.0,392020,14
['Action'],2010-06-01,34280.0,400110,22
['Action'],2010-06-01,34282.0,417890,0
['Action'],2010-06-01,34279.0,427520,1128
"['Action', 'RPG']",2010-06-01,34010.0,3910,0
['Action'],2010-06-03,22610.0,3920,763
['RPG'],2010-07-16,22440.0,244070,0
"['Strategy', 'Indie']",2010-06-02,18508.0,244090,0
['RPG'],2010-07-16,22430.0,264240,119
['RPG'],2010-07-16,22410.0,438140,2
['RPG'],2010-07-16,22420.0,4560,0
['Action'],2010-07-19,630.0,4570,0
['RPG'],2010-07-16,22400.0,4580,0
"['Simulation', 'Strategy']",2003-09-22,24780.0,4700,0
"['Strategy', 'RPG']",2010-07-16,33670.0,4760,0
"['Casual', 'Indie']",2010-07-16,40420.0,4770,0
"['Action', 'Casual', 'Indie']",2010-07-19,34920.0,9310,0
['Strategy'],2010-07-21,48136.0,9340,0
['RPG'],2008-12-08,46720.0,9450,0
['Action'],2010-08-17,28000.0,20540,0
"['Simulation', 'Strategy']",2010-07-28,39680.0,34270,0
['Strategy'],2010-07-26,25962.0,228200,66
['Simulation'],2010-08-06,24634.0,205890,1540
['Strategy'],2010-08-06,63900.0,482920,13
['Action'],2011-03-22,50130.0,214850,2787
['Simulation'],2010-08-06,24075.0,220,87
"['RPG', 'Casual']",2010-08-12,47540.0,340,0
['Action'],2010-08-12,50510.0,400,862
['Indie'],2010-08-16,25760.0,2700,266
['Indie'],2010-08-16,25763.0,20900,0
['Indie'],2010-08-16,25762.0,22320,444
['Indie'],2010-08-16,25764.0,3900,0
['Strategy'],2010-08-20,42980.0,3990,3
['Simulation'],2010-08-27,48800.0,8800,406
['Strategy'],2010-08-26,22600.0,16810,0
"['Indie', 'Simulation', 'Strategy']",2010-06-22,46770.0,34440,0
"['Action', 'Simulation', 'Strategy']",2010-08-27,65700.0,34450,0
['Strategy'],2010-08-30,42960.0,34460,0
['Indie'],2010-08-16,25761.0,47890,5014
['Action'],2010-08-31,28010.0,620,1759
['Action'],2010-08-31,28012.0,20920,0
['Simulation'],2010-09-01,24640.0,107100,375
['Action'],2010-08-31,28011.0,105450,661
['Strategy'],2002-11-01,4850.0,200260,594
['Adventure'],2010-09-02,57640.0,220240,1553
['Casual'],2010-09-06,62100.0,231140,49
['Action'],2010-09-06,50145.0,109600,15407
['Action'],2010-09-08,34841.0,238960,0
"['Action', 'Indie']",2010-09-07,70300.0,230050,343
['Strategy'],2010-09-08,48137.0,72850,8041
"['Action', 'Adventure', 'Indie']",2010-09-08,57300.0,236850,2482
"['RPG', 'Indie']",2010-09-10,70400.0,242920,2808
"['Action', 'Casual', 'Indie']",2010-08-19,46600.0,213850,162
"['Action', 'Simulation']",2010-09-13,34314.0,244850,661
['Action'],2010-09-13,34310.0,251470,435
['Simulation'],2010-09-14,70100.0,205100,177
"['Indie', 'Simulation']",2010-09-14,70110.0,49520,3982
"['Casual', 'Indie']",2010-09-17,38600.0,221910,163
['Strategy'],2010-09-17,57620.0,265930,476
['Action'],2010-09-13,34284.0,266010,205
"['RPG', 'Strategy']",2010-09-17,63910.0,270880,1123
['Simulation'],2010-09-17,24082.0,8930,12263
['Strategy'],2010-09-21,8930.0,7670,279
['Strategy'],2010-09-21,49310.0,8850,0
"['Action', 'Indie']",2002-02-05,41060.0,8870,0
"['Indie', 'Strategy']",2010-09-20,70900.0,409710,0
"['Action', 'Adventure']",2010-09-22,9940.0,409720,0
['Action'],2010-09-22,22650.0,278360,80
['Action'],2010-09-23,901553.0,48700,3863
"['Action', 'Adventure']",2010-09-23,50620.0,285310,1071
"['Simulation', 'Strategy']",1999-07-01,2840.0,285330,336
['Strategy'],2010-10-08,42920.0,288160,236
"['Action', 'RPG', 'Massively Multiplayer']",2007-08-31,29700.0,292910,217
"['Simulation', 'Strategy']",2000-06-01,2850.0,303210,146
"['RPG', 'Strategy']",Oct 2010,61510.0,246840,136
"['Adventure', 'Casual', 'Simulation']",2010-10-11,70200.0,276890,9
"['Adventure', 'Casual', 'Indie', 'Simulation']",2010-10-11,70210.0,206420,769
"['RPG', 'Strategy']",Oct 2010,61520.0,247080,149
"['RPG', 'Strategy']",Oct 2010,61500.0,258520,0
['Action'],2010-10-12,47790.0,400430,195
"['Indie', 'RPG', 'Strategy']",2010-10-15,46450.0,323380,336
"['Action', 'Adventure']",2010-10-15,45750.0,324080,84
"['Adventure', 'Casual', 'Indie']",2010-10-15,57800.0,339010,0
"['Action', 'RPG']",2010-10-19,22380.0,308420,93
"['Action', 'Casual', 'Indie']",2010-10-15,67000.0,333930,641
"['Adventure', 'Indie']",2010-10-22,80300.0,337280,86
"['Indie', 'Racing']",2010-10-25,50000.0,344760,85
['Strategy'],2010-10-25,16868.0,255710,1134
"['Action', 'Indie', 'RPG']",2010-10-25,18040.0,359870,360
"['Action', 'Simulation']",2010-10-26,71115.0,47780,0
['Casual'],2010-10-26,34317.0,362620,163
['RPG'],2010-10-26,71114.0,365720,1
['Action'],2010-10-26,71112.0,292030,0
"['Action', 'Adventure']",2010-10-26,71113.0,383870,199
['Adventure'],2010-10-26,34319.0,391540,69
['Action'],2010-10-26,34316.0,405640,153
['Action'],2010-10-26,34315.0,406150,24
"['Action', 'Indie']",2010-10-25,6120.0,408740,309
"['Action', 'Adventure', 'Indie']",2010-10-26,35460.0,409160,62
['Action'],2010-10-26,32500.0,236110,4415
